regional_id,pop_q1,frota_q1,obitos_acum_q1,inter_acum_q1,pop_q2,frota_q2,obitos_acum_q2,inter_acum_q2
11001,269316.0,119818.0,297,407.0,284003.0,144409.0,334,479.0
11002,179744.0,104422.0,228,1286.0,173643.0,123301.0,261,963.0
11003,369704.0,196447.0,473,1468.0,341326.0,229042.0,511,1483.0
11004,631354.0,276672.0,583,3388.0,666953.0,309155.0,570,7688.0
11005,146006.0,74324.0,173,758.0,135345.0,90084.0,188,770.0
11006,159917.0,80802.0,202,2610.0,161819.0,98049.0,259,2903.0
11007,49747.0,16156.0,80,241.0,52189.0,20856.0,68,316.0
12001,67265.0,17569.0,44,61.0,73617.0,23662.0,42,123.0
12002,542243.0,191291.0,345,3564.0,593149.0,227211.0,368,5707.0
12003,220111.0,40401.0,112,13.0,240110.0,50985.0,131,210.0
13001,2512003.0,667107.0,1333,3098.0,2663871.0,795727.0,1554,4578.0
13002,292597.0,27275.0,126,75.0,306626.0,33375.0,160,104.0
13003,195073.0,13050.0,99,282.0,206110.0,17823.0,123,656.0
13004,170727.0,24047.0,103,31.0,177430.0,28435.0,126,46.0
13005,246971.0,23260.0,102,913.0,257267.0,27388.0,110,376.0
13006,132054.0,5592.0,42,46.0,135116.0,7376.0,86,90.0
13007,135483.0,4882.0,22,25.0,141730.0,6188.0,52,82.0
13008,128049.0,12967.0,38,179.0,125033.0,15981.0,43,201.0
13009,250657.0,14419.0,49,123.0,256812.0,18827.0,60,345.0
14001,437925.0,184752.0,468,8061.0,558735.0,217393.0,528,10154.0
14002,84711.0,14758.0,90,94.0,93978.0,18420.0,106,395.0
15001,550946.0,176350.0,749,4022.0,583777.0,210628.0,921,4522.0
15002,750672.0,143182.0,577,1538.0,782583.0,175718.0,615,1993.0
15003,850985.0,266514.0,1124,7363.0,899615.0,345597.0,1236,9833.0
15004,448711.0,91378.0,443,567.0,477439.0,109027.0,455,504.0
15006,2177672.0,562353.0,1081,7219.0,2269233.0,661334.0,1253,11247.0
15007,357516.0,50062.0,314,182.0,374535.0,65420.0,352,579.0
15008,913596.0,163912.0,874,499.0,959387.0,201626.0,993,684.0
15009,526447.0,73016.0,383,96.0,550336.0,94556.0,419,238.0
15010,215162.0,57860.0,329,1384.0,222500.0,77759.0,400,2699.0
15011,685633.0,83967.0,354,229.0,722380.0,107701.0,420,533.0
15012,340654.0,92360.0,533,1669.0,357549.0,109141.0,525,2542.0
15013,237297.0,7960.0,73,276.0,249843.0,10768.0,87,298.0
15014,311337.0,10699.0,41,127.0,327947.0,13583.0,53,273.0
16001,533632.0,142675.0,308,2534.0,588584.0,170439.0,303,2716.0
16002,65687.0,4774.0,31,34.0,72879.0,6154.0,37,122.0
16003,198403.0,29297.0,80,281.0,216150.0,36113.0,86,140.0
17001,296851.0,119280.0,409,3714.0,309111.0,141085.0,486,3648.0
17002,208286.0,57515.0,251,66.0,212951.0,63853.0,286,8.0
17003,98481.0,18952.0,129,29.0,99516.0,24620.0,123,38.0
17004,160369.0,53311.0,253,125.0,164491.0,62903.0,288,139.0
17005,183790.0,81969.0,317,449.0,186210.0,95015.0,353,266.0
17006,363093.0,182236.0,427,4140.0,389493.0,217974.0,510,7183.0
17007,128292.0,44310.0,249,368.0,132934.0,53195.0,242,592.0
17008,111032.0,38013.0,217,7.0,112657.0,47112.0,221,4.0
21001,295523.0,70082.0,438,460.0,302123.0,85199.0,443,1365.0
21002,265149.0,65015.0,224,10.0,270276.0,78988.0,244,36.0
21003,224369.0,69308.0,320,1063.0,229463.0,87200.0,422,2638.0
21004,231168.0,53262.0,308,859.0,236252.0,65305.0,372,670.0
21005,302145.0,69202.0,352,100.0,308686.0,79789.0,329,7.0
21006,375623.0,41649.0,357,5.0,383972.0,48332.0,339,96.0
21007,304731.0,60696.0,318,1500.0,311743.0,71106.0,292,1915.0
21008,535538.0,189050.0,688,7301.0,546913.0,225755.0,744,9870.0
21009,383580.0,46849.0,335,251.0,390973.0,55784.0,337,212.0
21010,214792.0,62630.0,207,90.0,219284.0,75114.0,264,133.0
21011,392564.0,48559.0,367,3532.0,401065.0,61014.0,332,3065.0
21012,286216.0,62903.0,362,43.0,292311.0,74365.0,382,87.0
21013,298162.0,31340.0,225,3.0,306047.0,40173.0,263,4.0
21014,388842.0,71628.0,348,971.0,397205.0,80587.0,378,3022.0
21015,242709.0,42767.0,338,209.0,247927.0,51324.0,363,261.0
21016,1443242.0,427833.0,718,4366.0,1475254.0,499420.0,805,2229.0
21017,247344.0,47497.0,261,107.0,252750.0,56080.0,302,391.0
21018,269996.0,33493.0,200,300.0,275887.0,41348.0,197,431.0
21019,298536.0,38448.0,286,837.0,305131.0,48472.0,262,34.0
22001,160726.0,42081.0,262,908.0,163795.0,48079.0,272,1746.0
22002,194069.0,36676.0,259,169.0,198441.0,47464.0,281,302.0
22003,395099.0,99285.0,543,111.0,403230.0,115842.0,556,166.0
22004,1212208.0,531196.0,1405,22768.0,1240581.0,607155.0,1422,27152.0
22005,275604.0,104259.0,329,1621.0,281840.0,122515.0,416,2194.0
22006,145962.0,33161.0,194,375.0,149305.0,41591.0,247,580.0
22007,47115.0,12857.0,75,236.0,48391.0,16159.0,95,182.0
22008,107138.0,25228.0,171,473.0,109294.0,29667.0,187,439.0
22009,370606.0,112143.0,688,356.0,378472.0,136266.0,659,38.0
22010,105119.0,23213.0,162,79.0,106810.0,27786.0,173,83.0
22011,205611.0,61017.0,278,2150.0,209131.0,71718.0,306,5894.0
23001,2798587.0,1051612.0,1727,35174.0,2878668.0,1174771.0,1427,40645.0
23002,619311.0,149705.0,605,95.0,633621.0,182005.0,518,68.0
23003,538552.0,121832.0,417,110.0,555464.0,148733.0,365,100.0
23004,138884.0,31687.0,153,884.0,141411.0,37678.0,153,491.0
23005,205936.0,55912.0,277,7.0,209500.0,67430.0,205,19.0
23006,296379.0,65695.0,291,0.0,305287.0,79951.0,286,0.0
23007,117324.0,32093.0,98,194.0,120255.0,38292.0,112,313.0
