regional_id,inter_100k_ha,obitos_100k_ha,inter_10k_vei,obitos_10k_vei
11001,médio,muito alto,médio,alto
11002,muito alto,muito alto,alto,médio
11003,alto,muito alto,alto,alto
11004,muito alto,médio,muito alto,médio
11005,muito alto,muito alto,alto,médio
11006,muito alto,muito alto,muito alto,alto
11007,muito alto,muito alto,muito alto,muito alto
12001,médio,baixo,médio,alto
12002,muito alto,baixo,muito alto,médio
12003,baixo,baixo,médio,alto
13001,médio,baixo,alto,médio
13002,baixo,baixo,médio,muito alto
13003,alto,baixo,muito alto,muito alto
13004,baixo,baixo,médio,muito alto
13005,médio,baixo,muito alto,muito alto
13006,médio,baixo,alto,muito alto
13007,médio,baixo,alto,muito alto
13008,médio,baixo,muito alto,alto
13009,médio,baixo,muito alto,alto
14001,muito alto,alto,muito alto,alto
14002,médio,alto,alto,muito alto
15001,muito alto,muito alto,muito alto,muito alto
15002,alto,médio,alto,alto
15003,muito alto,muito alto,muito alto,alto
15004,médio,alto,médio,muito alto
15006,alto,baixo,muito alto,médio
15007,médio,médio,alto,muito alto
15008,médio,alto,médio,muito alto
15009,baixo,médio,médio,muito alto
15010,muito alto,muito alto,muito alto,muito alto
15011,médio,baixo,médio,muito alto
15012,muito alto,muito alto,muito alto,muito alto
15013,médio,baixo,muito alto,muito alto
15014,médio,baixo,muito alto,muito alto
16001,alto,baixo,muito alto,médio
16002,médio,baixo,muito alto,muito alto
16003,médio,baixo,alto,alto
17001,muito alto,muito alto,muito alto,alto
17002,baixo,muito alto,baixo,muito alto
17003,médio,alto,médio,muito alto
17004,médio,muito alto,médio,muito alto
17005,médio,muito alto,médio,muito alto
17006,muito alto,muito alto,muito alto,alto
17007,alto,muito alto,alto,muito alto
17008,baixo,muito alto,baixo,muito alto
21001,alto,muito alto,muito alto,muito alto
21002,baixo,médio,baixo,alto
21003,muito alto,muito alto,muito alto,muito alto
21004,alto,muito alto,muito alto,muito alto
21005,baixo,alto,baixo,muito alto
21006,baixo,médio,baixo,muito alto
21007,muito alto,alto,muito alto,muito alto
21008,muito alto,muito alto,muito alto,alto
