_normalized_mun_cod_ibge,_normalized_mun_slug,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
1100015,alta-floresta-d-oeste-ro,,1530000,1480700,49300
1100015,alta-floresta-d-oeste-ro,2018-2021,1000000,960019,39981
1100023,ariquemes-ro,2014-2017,36842105.26,35000000,1842105.26
1100023,ariquemes-ro,,14886075.05,13439154.620000001,1446920.43
1100031,cabixi-ro,,349780.51,329780.51,20000
1100049,cacoal-ro,,17223708.14,16144946.93,1078761.21
1100049,cacoal-ro,2018-2021,26612769.259999998,20103695,6509074.26
1100056,cerejeiras-ro,2018-2021,6823888.97,6076176,747712.97
1100064,colorado-do-oeste-ro,2018-2021,416364.29,410650,5714.29
1100106,guajara-mirim-ro,2018-2021,7228128,7158128,70000
1100114,jaru-ro,2018-2021,2411375,2387500,23875
1100049,cacoal-ro,2014-2017,36842105.26,35000000,1842105.26
1100056,cerejeiras-ro,,2723853.51,2564342.88,159510.63
1100064,colorado-do-oeste-ro,,1485527.8900000001,1424750,60777.89
1100072,corumbiara-ro,,994453.8600000001,947124.23,47329.630000000005
1100072,corumbiara-ro,2018-2021,734454.39,674903,59551.39
1100080,costa-marques-ro,,482638.32999999996,478918.32999999996,3720
1100080,costa-marques-ro,2018-2021,241240,238856,2384
1100098,espigao-d-oeste-ro,,2850443.44,2641517.33,208926.11
1100098,espigao-d-oeste-ro,2018-2021,670658.56,644864,25794.56
1100106,guajara-mirim-ro,,1461559.77,1446683.99,14875.779999999999
1100114,jaru-ro,,3079420.17,2810700,268720.17000000004
1100122,ji-parana-ro,,40952508.56,37045199.67,3907308.8899999997
1100122,ji-parana-ro,2018-2021,28285142.590000004,27594151,690991.59
1100130,machadinho-d-oeste-ro,2018-2021,961019,960019,1000
1100155,ouro-preto-do-oeste-ro,2018-2021,15778189.44,15144316.6,633872.84
1100205,porto-velho-ro,2018-2021,28969472.31,25927808.73,3041663.58
1100254,presidente-medici-ro,2018-2021,3129506.3699999996,2679960,449546.37
1100262,rio-crespo-ro,2018-2021,678060.22,674903,3157.22
1100122,ji-parana-ro,2014-2017,12006666.86,9887200,2119466.86
1100130,machadinho-d-oeste-ro,2014-2017,7718316.67,7285921.18,432395.49
1100130,machadinho-d-oeste-ro,,3294355.44,3201200,93155.44
1100148,nova-brasilandia-d-oeste-ro,,3184525.81,3077933.49,106592.32
1100155,ouro-preto-do-oeste-ro,,4273215.609999999,3816467,456748.61
1100189,pimenta-bueno-ro,,4905533.260000001,4556550,348983.25999999995
1100189,pimenta-bueno-ro,2018-2021,2925819.19,2875038,50781.19
1100205,porto-velho-ro,,65914639.78,62442620.970000006,3472018.81
1100288,rolim-de-moura-ro,2018-2021,5748093.77,5740421,7672.77
1100338,nova-mamore-ro,2018-2021,384605,384205,400
1100346,alvorada-d-oeste-ro,2018-2021,387205,384205,3000
1100205,porto-velho-ro,2014-2017,1185120,987600,197520
1100254,presidente-medici-ro,,1395054.96,1328537.0699999998,66517.89
1100262,rio-crespo-ro,,854923.3899999999,795850,59073.39000000001
1100288,rolim-de-moura-ro,,41286097.41,40238250.4,1047847.01
1100296,santa-luzia-d-oeste-ro,2018-2021,1213858.88,1198875,14983.880000000001
1100288,rolim-de-moura-ro,2014-2017,2073966.35,1976600,97366.35
1100296,santa-luzia-d-oeste-ro,,3978306.33,3831430.69,146875.64
1100304,vilhena-ro,2014-2017,37374915,30558319.49,6816595.51
1100304,vilhena-ro,,39442371.07,35911650.01,3530721.0599999996
1100304,vilhena-ro,2018-2021,31738451.139999997,26751873.83,4986577.3100000005
1100320,sao-miguel-do-guapore-ro,,569903.44,561024.39,8879.05
1100338,nova-mamore-ro,,1350626.03,1319605.3199999998,31020.71
1100346,alvorada-d-oeste-ro,,1555322.9299999997,1476736.45,78586.48
1100379,alto-alegre-dos-parecis-ro,,2701197.36,2645802.9999999995,55394.36
1100379,alto-alegre-dos-parecis-ro,2018-2021,3012500.87,2969289,43211.87
1100403,alto-paraiso-ro,,2733322.79,2544232.85,189089.94000000003
1100452,buritis-ro,,8905820.49,8427942.969999999,477877.52
1100452,buritis-ro,2018-2021,9984719.22,9485483.26,499235.96
1100502,novo-horizonte-do-oeste-ro,,246260.21,172101.09,74159.12
