_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
11001,Vale do Jamari,,408165,400000,8165
11003,Central,,969388.6699999999,950000,19388.67
11004,Madeira-Mamoré,,358043,350000,8043
12001,Alto Acre,,845680,828750,16930
12002,Baixo Acre e Purus,,1030000,1000000,30000
12003,Juruá e Tarauacá/Envira,,3042840,2914375,128465
13001,"Manaus, Entorno e Alto Rio Negro",,16167881.61,14833600,1334281.61
13004,Médio Amazonas,,2498177.93,2000000,498177.93
13007,Regional Juruá,,525000,500000,25000
14001,Centro Norte,,6435000,6100000,335000
15003,Carajás,,3327490.55,2487500,839990.55
15004,Lago de Tucuruí,,525000,500000,25000
15008,Metropolitana III,,513645.83,493100,20545.83
15011,Tocantins,,1036250,975000,61250
17001,Médio Norte Araguaia,,4158871.9299999997,3776600,382271.93
17002,Bico do Papagaio,,822349.3799999999,795000,27349.379999999997
17004,Cerrado Tocantins Araguaia,,807997.46,785600,22397.46
21001,Açailândia,,510204.08,500000,10204.08
21003,Balsas,,1533000,1500000,33000
21008,Imperatriz,,250750,243750,7000
21009,Itapecuru Mirim,,1522985.52,1487500,35485.520000000004
21013,Rosário,,257500,250000,7500
21016,São Luís,,414610,400000,14610
21019,Zé Doca,,515000,500000,15000
22001,Carnaubais,,1030928,1000000,30928
22002,Chapada das Mangabeiras,,101200,98200,3000
22003,Cocais,,2203204.08,2120700,82504.08
22004,Entre Rios,,365177.8,342650,22527.8
22005,Planície Litorânea,,510007.16,500000,10007.16
22006,Serra da Capivara,,153750,150000,3750
22009,Vale do Rio Guaribas,,201206,195700,5506
22010,Vale do Sambito,,1124257.6400000001,1079000,45257.64
22011,Vale dos Rios Piauí e Itaueiras,,1402083.33,1345000,57083.33
23001,1ª Região Fortaleza,,256094,245850,10244
23002,2ª Região Caucaia,,2173913.04,2000000,173913.04
23003,3ª Região Maracanaú,,4743077.409999999,3500000,1243077.41
23004,4ª Região Baturité,,2063752.26,2000000,63752.26
23005,5ª Região Canindé,,604640.73,576500,28140.73
23006,6ª Região Itapipoca,,1303756.07,1182600,121156.07
23009,9ª Região Russas,,145000,140000,5000
23010,10ª Região Limoeiro do Norte,,490434.6,455000,35434.6
23011,11ª Região Sobral,,7914367.4399999995,7567700,346667.44
23012,12ª Região Acaraú,,2353243.95,2245300,107943.95
23013,13ª Região Tianguá,,3492128.3100000005,3291000,201128.31000000003
23014,14ª Região Tauá,,1155697.62,1100000,55697.619999999995
23015,15ª Região Crateús,,674000,650000,24000
23016,16ª Região Camocim,,934906.8,900000,34906.8
23022,22ª Região Cascavel,,2664809,2500000,164809
24002,2ª Região de Saúde - Mossoró,,102925,100000,2925
24004,4ª Região de Saúde - Caicó,,217353.21,200000,17353.21
24006,6ª Região de Saúde - Pau dos Ferros,,102040.82,100000,2040.82
24007,7ª Região de Saúde - Metropolitana,,574306.22,543400,30906.22
24008,8ª Região de Saúde - Açu,,210000,200000,10000
25012,12ª Região,,1305000,1269400,35600
26003,Caruaru,,1201740.26,1108000,93740.26
26005,Goiana,,1570787.7,1500000,70787.7
26006,Limoeiro,,5571405.6899999995,5217500,353905.69
26007,Ouricuri,,2519280.81,1963000,556280.81
26009,Petrolina,,510000,500000,10000
26010,Recife,,5896632.01,4500000,1396632.01
26011,Salgueiro,,510500,500000,10500
27001,1ª Região de Saúde,,2455000,2250000,205000
27002,2ª Região de Saúde,,248750,243750,5000
