_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
11001,Vale do Jamari,,37789913.17999999,35109356.870000005,2680556.31
11001,Vale do Jamari,2018-2021,16292993.770000001,15620020.26,672973.5099999999
11002,Café,2018-2021,33327010.969999995,26218538,7108472.969999999
11003,Central,2018-2021,52990486.81,50873331.6,2117155.21
11001,Vale do Jamari,2014-2017,44560421.93,42285921.18,2274500.75
11002,Café,,27094564.12,25266239.46,1828324.6600000008
12002,Baixo Acre e Purus,2018-2021,222254593.78000003,221007206.41,1247387.37
11002,Café,2014-2017,36842105.26,35000000,1842105.26
11003,Central,,61271077.719999984,55744959.269999996,5526118.449999999
11004,Madeira-Mamoré,2018-2021,37543277.8,34430160.730000004,3113117.0700000003
11005,Zona da Mata,2018-2021,13318378.280000001,13193610,124768.28
11003,Central,2014-2017,12006666.86,9887200,2119466.86
11004,Madeira-Mamoré,,77192287.97,73411014.17000002,3781273.8
11004,Madeira-Mamoré,2014-2017,1185120,987600,197520
11005,Zona da Mata,,53913874.91,52365635.17,1548239.7400000002
11006,Cone Sul,2018-2021,43299072.58,36523914.83,6775157.749999999
13002,Rio Negro e Solimões,2018-2021,52938455.760000005,52818004.24,120451.52
13003,Rio Madeira,2018-2021,20732030.240000002,20594261,137769.24
13004,Médio Amazonas,2018-2021,78165179.36,77394668,770511.36
13005,Baixo Amazonas,2018-2021,38703601.06,38242415.63,461185.43
11005,Zona da Mata,2014-2017,2073966.35,1976600,97366.35
11006,Cone Sul,2014-2017,37374915,30558319.49,6816595.51
11006,Cone Sul,,46280273.190000005,42256995.370000005,4023277.8199999994
11007,Vale do Guaporé,,2852724.4699999997,2757658.8200000003,95065.65
11007,Vale do Guaporé,2018-2021,741240,719960,21280
12001,Alto Acre,,45185738.25,44997028.38,188709.87
12001,Alto Acre,2018-2021,21062738.09,20880761.83,181976.26
12003,Juruá e Tarauacá/Envira,2018-2021,45619690.46,45286364.28,333326.18
12001,Alto Acre,2014-2017,6240872.18,5977501.73,263370.44999999995
12002,Baixo Acre e Purus,,318065996.32000005,292044366.75,26021629.570000015
12002,Baixo Acre e Purus,2014-2017,187351618.52999997,171113122.67,16238495.860000005
12003,Juruá e Tarauacá/Envira,,29542541.740000002,28593188.090000004,949353.65
12003,Juruá e Tarauacá/Envira,2014-2017,3493380,3489860,3520
13001,"Manaus, Entorno e Alto Rio Negro",,3419226559.520001,2079482011.73,1339744547.7900002
13001,"Manaus, Entorno e Alto Rio Negro",2018-2021,187164321.23999998,180243787.9,6920533.34
13001,"Manaus, Entorno e Alto Rio Negro",2014-2017,10819976.25,9883000,936976.25
13002,Rio Negro e Solimões,,18951064.78,18297092.98,653971.8
13003,Rio Madeira,,2262875.41,2147400,115475.41
13003,Rio Madeira,2014-2017,1000000,987600,12400
13004,Médio Amazonas,,11409019.63,10573609.36,835410.27
13004,Médio Amazonas,2014-2017,1017228,987600,29628
13005,Baixo Amazonas,,8483794.16,8160759.42,323034.74
13006,Regional Purus,,4386785.25,4055616.96,331168.29000000004
13006,Regional Purus,2018-2021,33346278.63,33243884,102394.63
13007,Regional Juruá,,15011298.35,14830591.5,180706.85
13007,Regional Juruá,2018-2021,23117458.94,22971318.62,146140.32
13008,Triângulo,2018-2021,14927697.850000001,14829300,98397.85
13009,Alto Solimões,2018-2021,28813455.930000003,28675054.61,138401.32
14002,Sul,2018-2021,66683183.510000005,66139348.589999996,543834.92
15003,Carajás,2018-2021,42931033.06,37371851.58,5559181.48
13007,Regional Juruá,2014-2017,6500000,6368800,131200
13008,Triângulo,,5658666.99,5347790,310876.99
13008,Triângulo,2014-2017,1598666.07,1482100,116566.07
13009,Alto Solimões,,30692850.409999996,30488207.86,204642.55000000002
14001,Centro Norte,2018-2021,239190580.72000003,233610639.29000002,5579941.43
15007,Metropolitana II,2018-2021,1402780.12,1374867.2,27912.920000000002
15008,Metropolitana III,2018-2021,4848955.71,4594878.9,254076.81
13009,Alto Solimões,2014-2017,890215.63,789800,100415.63
14001,Centro Norte,2014-2017,149507457.05,144116855.55,5390601.5
14001,Centro Norte,,232978524.3,222168581.82,10809942.48
14002,Sul,,26179685.86,25622725.55,556960.3099999999
14002,Sul,2014-2017,5540290.92,5490682.59,49608.33
15001,Araguaia,,49918316.39,47215772.019999996,2702544.3700000006
15001,Araguaia,2018-2021,8557384.01,8366106.869999999,191277.14
15002,Baixo Amazonas,2018-2021,14566788.25,10462773,4104015.25
15001,Araguaia,2014-2017,10338745.37,9609520.87,729224.5000000001
15002,Baixo Amazonas,2014-2017,57620282.71999999,51313844.49999999,6306438.220000002
15002,Baixo Amazonas,,47426283.89000001,43161746.589999996,4264537.300000001
15003,Carajás,2014-2017,95747338.32,87638741.26,8108597.06
15003,Carajás,,64062802.75,57565150.839999996,6497651.909999999
15004,Lago de Tucuruí,,10817041.549999999,9813802.32,1003239.2299999999
15006,Metropolitana I,2018-2021,207218897.58,165541041.98999995,41677855.589999996
15009,Rio Caetés,2018-2021,1945478.21,1902666.38,42811.83
15004,Lago de Tucuruí,2014-2017,2562429.39,2453040.7199999997,109388.67
15006,Metropolitana I,,1128043107.8200004,859538421.49,268504686.33
15006,Metropolitana I,2014-2017,191456512.53999993,177853171.6,13603340.94
15007,Metropolitana II,,14862146.51,13896790.27,965356.2400000001
15010,Tapajós,2018-2021,2886098.69,2669469,216629.69
15007,Metropolitana II,2014-2017,2005975.22,1972400,33575.22
