_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum
11002,Café,,2029774.12,1950000,79774.12
12002,Baixo Acre e Purus,,85777961.04,81326675,4451286.039999999
12002,Baixo Acre e Purus,2014-2017,4449612.649999999,4247100,202512.65000000002
12003,Juruá e Tarauacá/Envira,,795920,780000,15920
13001,"Manaus, Entorno e Alto Rio Negro",,441523383.91,384436084.21000004,57087299.7
14001,Centro Norte,,1292850,1266993,25857
15001,Araguaia,,2519409.1100000003,2362000,157409.11
15006,Metropolitana I,,379746900.67,339427794.24,40319106.43
15008,Metropolitana III,,307604.17,295300,12304.17
15011,Tocantins,,1608750,1462500,146250
16001,Área Central,,1579600,1579600,0
16003,Área Sudoeste,2018-2021,1234522.27,955000,279522.27
25001,1ª Região Mata Atlântica,2018-2021,20840660.24,19296907.63,1543752.61
26003,Caruaru,2018-2021,254544.01,238856,15688.01
26006,Limoeiro,2018-2021,3520844.1100000003,2865000,655844.11
16001,Área Central,2014-2017,5081193.72,5069293.72,11900
17001,Médio Norte Araguaia,,420000,400000,20000
26004,Garanhuns,2018-2021,5859047.29,5742000,117047.29
26009,Petrolina,2018-2021,605903.29,604570.29,1333
26010,Recife,2018-2021,4629492.75,4541296.83,88195.92000000001
26012,Serra Talhada,2018-2021,969619.19,960019,9600.19
17001,Médio Norte Araguaia,2014-2017,1013579.26,980677,32902.26
17006,Capim Dourado,2014-2017,238384642.26,227580000,10804642.26
21006,Chapadinha,2014-2017,1558656.03,690900,867756.03
21011,Pinheiro,,2070000,2000000,70000
21016,São Luís,,521330045.1,456060000,65270045.1
21016,São Luís,2014-2017,105522741.07,89988619.02,15534122.05
21017,Timon,2014-2017,2417516.48,2411671.98,5844.5
21018,Viana,,603092.78,585000,18092.78
22001,Carnaubais,,181500,176500,5000
22002,Chapada das Mangabeiras,,481500,469000,12500
22004,Entre Rios,,51180917.12,37686607.91,13494309.209999999
22004,Entre Rios,2014-2017,274640260.89,274386913.78,253347.11
22006,Serra da Capivara,,202475,196400,6075
22008,Vale do Canindé,,181500,176500,5000
22009,Vale do Rio Guaribas,,181500,176500,5000
22010,Vale do Sambito,,182438.53,176500,5938.53
23001,1ª Região Fortaleza,,3205524239.41,2918970400,286553839.41
23002,2ª Região Caucaia,,2520408.16,2500000,20408.16
23011,11ª Região Sobral,,462000,460952.38,1047.62
24007,7ª Região de Saúde - Metropolitana,2018-2021,5818000,5730000,88000
23020,20ª Região Crato,2014-2017,812358.4,789800,22558.4
24007,7ª Região de Saúde - Metropolitana,,174891017.69,165264251.35999998,9626766.33
25001,1ª Região Mata Atlântica,,215580244.95999998,207547244.95999998,8033000
25001,1ª Região Mata Atlântica,2014-2017,119180043.44,88350772.39,30829271.05
25003,3ª Região,,750000,731250,18750
26007,Ouricuri,2018-2021,390000,384000,6000
26001,Afogados da Ingazeira,2014-2017,383294.06,255740,127554.06
26003,Caruaru,,825000,788400,36600
26009,Petrolina,,100000,100000,0
26010,Recife,,397045257.35,385904567.12,11140690.23
26010,Recife,2014-2017,496814248.42,379791513.28999996,117022735.13
27001,1ª Região de Saúde,,244929054.84,220664885.34,24264169.5
27009,9ª Região de Saúde,,200500,196400,4100
27010,10ª Região de Saúde,,300000,292500,7500
28001,Aracaju,2014-2017,813895.1,789800,24095.1
28002,Estância,2014-2017,656582.06,640050,16532.059999999998
28004,Lagarto,,1582624.05,1482100,100524.05
28005,Nossa Senhora da Glória,2014-2017,1020580.05,997943.81,22636.239999999998
28006,Nossa Senhora do Socorro,,1318383.74,987600,330783.74
28007,Propriá,2014-2017,800000,789800,10200
29001,Alagoinhas,,1456000,1400000,56000
29001,Alagoinhas,2014-2017,450000,434452.72,15547.28
29002,Barreiras,,2056600,1976600,80000
29006,Feira de Santana,,3389816.67,3023250,366566.67000000004
29014,Jacobina,,1036980,987600,49380
29016,Juazeiro,,185500,156000,29500
29016,Juazeiro,2014-2017,470000,436727,33273
29020,Salvador,,2614742267.0400004,1807595300,807146967.0400001
29020,Salvador,2014-2017,646257689.1800001,518623486.03,127634203.15
31003,Itajubá,,405822.24,245850,159972.24
31004,Lavras,,150000,146250,3750
31008,São Lourenço,,504612.25,494600,10012.25
31015,São João Del Rei,,325807.44,300000,25807.44
31016,Belo Horizonte/ Nova Lima/ Caeté,,2277330000,2277330000,0
31016,Belo Horizonte/ Nova Lima/ Caeté,2014-2017,43848000,43848000,0
31019,Curvelo,,422871.34,394200,28671.34
31024,Sete Lagoas,,309695,300000,9695
31030,Formiga,,135129,98200,36929
31031,Itaúna,,500000,394200,105800
31032,Pará de Minas,,467788.54,415558.04,52230.5
31047,São João Nepomuceno / bicas,,101000,98200,2800
31055,Pirapora,,759651.51,600000,159651.51
31057,Patos de Minas,,4261046.9,4100000,161046.9
31072,Uberaba,,1130054.8900000001,984800,145254.89
31079,Conselheiro Lafaiete,,500000,493100,6900
31086,Divinópolis,,610114.33,493100,117014.33
32001,Central,,220000,214500,5500
32002,Metropolitana,,67487047.22999999,62576750,4910297.2299999995
32002,Metropolitana,2014-2017,885165.0700000001,738950,146215.07
32004,Sul,2014-2017,298282.83,295300,2982.83
33002,Baixada Litorânea,,1616100,1482100,134000
33002,Baixada Litorânea,2018-2021,940000,911877.39,28122.61
33002,Baixada Litorânea,2014-2017,3068944.2800000003,2904860,164084.28
33003,Centro-Sul,,565867.35,538350,27517.35
33003,Centro-Sul,2014-2017,1465762.2,1450401.44,15360.76
33004,Médio Paraíba,,3728358.37,3037540.94,690817.4299999999
33005,Metropolitana I,2018-2021,1752478.33,1642211.27,110267.06
33004,Médio Paraíba,2014-2017,2262260,2174400,87860
33005,Metropolitana I,,1222646295.6299999,610136953.6800001,612509341.9499999
33005,Metropolitana I,2014-2017,54174251.580000006,53061508.32,1112743.26
33006,Metropolitana II,,2168197331.55,1987592000,180605331.55
33006,Metropolitana II,2014-2017,9000000,9000000,0
33007,Noroeste,,601500,595300,6200
33007,Noroeste,2014-2017,750350,740350,10000
33008,Norte,,1309000,1300000,9000
33008,Norte,2018-2021,466000,460952.38,5047.62
33009,Serrana,2018-2021,1000019.79,960019,40000.79
35011,Alto do Tietê,2018-2021,1096317.24,955000,141317.24
35012,Franco da Rocha,2018-2021,28158375.32,25000000,3158375.32
33008,Norte,2014-2017,2577154.95,1678500,898654.9500000001
33009,Serrana,,1042263.26,986200,56063.26
33009,Serrana,2014-2017,4178763.26,4149600,29163.260000000002
35011,Alto do Tietê,,505830915.36,413243750,92587165.36
35011,Alto do Tietê,2014-2017,1986663.85,1745831.3599999999,240832.49
35012,Franco da Rocha,,579557.46,491700,87857.45999999999
35014,Rota dos Bandeirantes,2014-2017,66500000,61500000,5000000
35014,Rota dos Bandeirantes,,2785760,2563900,221860
35015,Grande ABC,,99438563.9,73789050.8,25649513.1
35015,Grande ABC,2014-2017,214396169.09,213155169.09,1241000
35016,São Paulo,,4509152320.900001,2716843113.33,1792309207.57
35063,Polo Cuesta,2018-2021,516946.23,481104,35842.23
35171,Alto Vale do Paraíba,2018-2021,2336508.27,2331835.25,4673.02
