_normalized_mun_slug,_normalized_mun_cod_ibge,vlr_investimento_sum,vlr_desembolsado_sum,vlr_investimento_por_populacao,vlr_desembolsado_por_populacao,populacao
sao-valerio-to,1720499,5535318.05,2722227.39,Infinity,Infinity,
sao-roberto-ma,2111672,797579,0,Infinity,NaN,
sao-domingos-pb,2513968,3238844.1,1937217.1400000001,Infinity,Infinity,
sao-joao-do-triunfo-pr,4125100,2670201.79,2344857.14,Infinity,Infinity,
sao-miguel-do-gostoso-rn,2412559,2652334.96,1380562.68,Infinity,Infinity,
sao-luis-do-curu-ce,2312601,3948472.31,2621464,Infinity,Infinity,
sao-caetano-de-odivelas-pa,1507102,2346268.24,171762.83000000002,Infinity,Infinity,
sao-joao-batista-ma,2111003,1933627.88,987600,Infinity,Infinity,
recife-pe,2611606,4369535281.7300005,939890159.6300002,2674.630168097267,575.314859260928,1633697
,,NaN,NaN,NaN,NaN,
sao-vendelino-rs,4319752,9328174.65,2256962,Infinity,Infinity,
sao-vicente-do-serido-pb,2515401,195000,,Infinity,NaN,
sao-joao-de-pirabas-pa,1507474,1961217.3599999999,0,Infinity,NaN,
sao-felix-de-balsas-ma,2110807,5642983.7299999995,0,Infinity,NaN,
sao-raimundo-do-doca-bezerra-ma,2111631,1194564,493100,Infinity,Infinity,
sao-francisco-do-maranhao-ma,2110906,5242703.7,3149831.8,Infinity,Infinity,
sao-bentinho-pb,2513927,1606846.69,935350,Infinity,Infinity,
sao-tome-das-letras-mg,3165206,570087.86,443650,Infinity,Infinity,
sao-jeronimo-da-serra-pr,4124707,927067.36,0,Infinity,NaN,
sao-sebastiao-da-vargem-alegre-mg,3164431,590311.29,533156,Infinity,Infinity,
sao-jose-dos-basilios-ma,2111250,866500,256180.66,Infinity,Infinity,
sao-sebastiao-do-umbuzeiro-pb,2515203,1606412.56,635770.38,Infinity,Infinity,
sao-goncalo-do-rio-preto-mg,3125507,624091.22,270476.19,Infinity,Infinity,
sao-joao-do-jaguaribe-ce,2312502,933313.45,0,Infinity,NaN,
sao-sebastiao-da-boa-vista-pa,1507706,1915000,,Infinity,NaN,
porto-rico-do-maranhao-ma,2109056,3355915.4,295300,Infinity,Infinity,
fortaleza-de-minas-mg,3126307,1357992.52,771906,Infinity,Infinity,
arroio-dos-ratos-rs,4301107,2715482.63,590600,Infinity,Infinity,
nova-alianca-do-ivai-pr,4116505,1250000,0,Infinity,NaN,
nova-canaa-ba,2922706,4001268,1791103,Infinity,Infinity,
nova-esperanca-do-piria-pa,1504950,145000,,Infinity,NaN,
nova-america-da-colina-pr,4116604,1311420.9,1200850,Infinity,Infinity,
nova-roma-go,5214903,2387068.6899999995,245850,Infinity,Infinity,
