_normalized_mun_cod_ibge,_normalized_mun_slug,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_municipio_populacao_quadrienio,_municipio_frota_quadrienio,_vlr_investimento_por_hab,_vlr_repasse_financiamento_por_hab,_vlr_contrapartida_por_hab,_vlr_investimento_por_frota,_vlr_repasse_financiamento_por_frota,_vlr_contrapartida_por_frota
1100015,alta-floresta-d-oeste-ro,,1530000,1480700,49300,,,,,,,,
1100015,alta-floresta-d-oeste-ro,2018-2021,1000000,960019,39981,22516,15101,44.41286196482501,42.63719133060935,1.775670634215669,66.22078008078935,63.57320707237931,2.6475730084100393
1100023,ariquemes-ro,2014-2017,36842105.26,35000000,1842105.26,107345,64504,343.21212222273977,326.0515161395501,17.160606083189716,571.160009611807,542.6020091777254,28.558000434081606
1100023,ariquemes-ro,,14886075.05,13439154.620000001,1446920.43,,,,,,,,
1100031,cabixi-ro,,349780.51,329780.51,20000,,,,,,,,
1100049,cacoal-ro,,17223708.14,16144946.93,1078761.21,,,,,,,,
1100049,cacoal-ro,2018-2021,26612769.259999998,20103695,6509074.26,86416,70159,307.961132892057,232.6385738752083,75.32255901684873,379.3208178565829,286.54477686398036,92.77604099260252
1100056,cerejeiras-ro,2018-2021,6823888.97,6076176,747712.97,16088,11856,424.1601796369965,377.68373943311786,46.47644020387867,575.5641843792173,512.497975708502,63.06620867071525
1100064,colorado-do-oeste-ro,2018-2021,416364.29,410650,5714.29,15213,12532,27.368979819890882,26.993360941300203,0.375618878590679,33.224089530801145,32.76811362910948,0.45597590169166935
1100106,guajara-mirim-ro,2018-2021,7228128,7158128,70000,46930,17020,154.01934796505432,152.5277647560196,1.4915832090347325,424.6843713278496,420.57156286721505,4.112808460634548
1100114,jaru-ro,2018-2021,2411375,2387500,23875,51469,39011,46.851017117099616,46.38714566049467,0.46387145660494666,61.8126938555792,61.20068698572197,0.6120068698572197
1100049,cacoal-ro,2014-2017,36842105.26,35000000,1842105.26,88507,59539,416.26205000734404,395.4489475408725,20.81310246647158,618.789453299518,587.8499806849292,30.93947261458876
1100056,cerejeiras-ro,,2723853.51,2564342.88,159510.63,,,,,,,,
1100064,colorado-do-oeste-ro,,1485527.8900000001,1424750,60777.89,,,,,,,,
1100072,corumbiara-ro,,994453.8600000001,947124.23,47329.630000000005,,,,,,,,
1100072,corumbiara-ro,2018-2021,734454.39,674903,59551.39,7052,4296,104.14838201928531,95.70377197958027,8.444610039705049,170.9623812849162,157.10032588454376,13.862055400372439
1100080,costa-marques-ro,,482638.32999999996,478918.32999999996,3720,,,,,,,,
