_regional_saude_id,_regional_saude_nome,_quadrienio,vlr_investimento_sum,vlr_repasse_financiamento_sum,vlr_contrapartida_sum,_regional_saude_populacao_quadrienio,_regional_saude_frota_quadrienio,_regional_saude_vlr_investimento_por_hab,_regional_saude_vlr_repasse_financiamento_por_hab,_regional_saude_vlr_contrapartida_por_hab,_regional_saude_vlr_investimento_por_frota,_regional_saude_vlr_repasse_financiamento_por_frota,_regional_saude_vlr_contrapartida_por_frota
11002,Café,,2029774.12,1950000,79774.12,,,,,,,,
12002,Baixo Acre e Purus,,85777961.04,81326675,4451286.039999999,,,,,,,,
12002,Baixo Acre e Purus,2014-2017,4449612.649999999,4247100,202512.65000000002,542243,191291,8.205938389246148,7.832466255903719,0.3734721333424314,23.2609618330188,22.202299114960976,1.0586627180578283
12003,Juruá e Tarauacá/Envira,,795920,780000,15920,,,,,,,,
13001,"Manaus, Entorno e Alto Rio Negro",,441523383.91,384436084.21000004,57087299.7,,,,,,,,
14001,Centro Norte,,1292850,1266993,25857,,,,,,,,
15001,Araguaia,,2519409.1100000003,2362000,157409.11,,,,,,,,
15006,Metropolitana I,,379746900.67,339427794.24,40319106.43,,,,,,,,
15008,Metropolitana III,,307604.17,295300,12304.17,,,,,,,,
15011,Tocantins,,1608750,1462500,146250,,,,,,,,
16001,Área Central,,1579600,1579600,0,,,,,,,,
16003,Área Sudoeste,2018-2021,1234522.27,955000,279522.27,216150,36113,5.711414619477215,4.41822808235022,1.2931865371269953,34.18498241630438,26.444770581231136,7.740211835073243
25001,1ª Região Mata Atlântica,2018-2021,20840660.24,19296907.63,1543752.61,1336175,553491,15.597253533406926,14.441901420098414,1.1553521133085114,37.653114937731594,34.8639953133836,2.789119624348002
26003,Caruaru,2018-2021,254544.01,238856,15688.01,1399740,507769,0.18185092231414407,0.17064311943646676,0.011207802877677283,0.5012988386451319,0.4704028800497864,0.03089595859534552
26006,Limoeiro,2018-2021,3520844.1100000003,2865000,655844.11,605374,169223,5.815981707176061,4.732611575654058,1.0833701315220012,20.805943104660717,16.93032271026988,3.8756203943908334
16001,Área Central,2014-2017,5081193.72,5069293.72,11900,533632,142675,9.521905957663709,9.499605945670424,0.022300011993283762,35.61376358857543,35.530357245488,0.08340634308743648
17001,Médio Norte Araguaia,,420000,400000,20000,,,,,,,,
26004,Garanhuns,2018-2021,5859047.29,5742000,117047.29,549206,153984,10.668214276610234,10.45509335294953,0.2131209236607029,38.04971484050291,37.2895885286783,0.7601263118246051
26009,Petrolina,2018-2021,605903.29,604570.29,1333,517042,189002,1.171864742129266,1.1692866150138674,0.002578127115398749,3.205803589380007,3.1987507539602755,0.007052835419731008
26010,Recife,2018-2021,4629492.75,4541296.83,88195.92000000001,4284238,1416422,1.0805872012712645,1.0600010620325016,0.020586139238763117,3.268441714404323,3.2061750170500036,0.062266697354319556
26012,Serra Talhada,2018-2021,969619.19,960019,9600.19,242274,82644,4.002159497098327,3.962534155542898,0.03962534155542898,11.73248136585838,11.616318184018198,0.116163181840182
17001,Médio Norte Araguaia,2014-2017,1013579.26,980677,32902.26,296851,119280,3.414437748230594,3.303600122620439,0.1108376256101546,8.497478705566733,8.221638162307176,0.27584054325955737
17006,Capim Dourado,2014-2017,238384642.26,227580000,10804642.26,363093,182236,656.5387993158777,626.7815683585197,29.757230957358033,1308.109496806339,1248.8202111547664,59.28928565157268
21006,Chapadinha,2014-2017,1558656.03,690900,867756.03,375623,41649,4.149522340218783,1.8393442361090775,2.310178104109706,37.42361233162861,16.58863358063819,20.83497875099042
21011,Pinheiro,,2070000,2000000,70000,,,,,,,,
21016,São Luís,,521330045.1,456060000,65270045.1,,,,,,,,
21016,São Luís,2014-2017,105522741.07,89988619.02,15534122.05,1443242,427833,73.11507084051046,62.35171857526319,10.76335226524727,246.64469797794933,210.33585305481344,36.3088449231359
21017,Timon,2014-2017,2417516.48,2411671.98,5844.5,247344,47497,9.773903874765509,9.750274839899088,0.023629034866420855,50.8982984188475,50.77524854201318,0.12304987683432637
21018,Viana,,603092.78,585000,18092.78,,,,,,,,
22001,Carnaubais,,181500,176500,5000,,,,,,,,
22002,Chapada das Mangabeiras,,481500,469000,12500,,,,,,,,
22004,Entre Rios,,51180917.12,37686607.91,13494309.209999999,,,,,,,,
22004,Entre Rios,2014-2017,274640260.89,274386913.78,253347.11,1212208,531196,226.56199339552288,226.3529969939152,0.20899640160764488,517.0224566638303,516.5455195069239,0.476937156906302
22006,Serra da Capivara,,202475,196400,6075,,,,,,,,
22008,Vale do Canindé,,181500,176500,5000,,,,,,,,
22009,Vale do Rio Guaribas,,181500,176500,5000,,,,,,,,
22010,Vale do Sambito,,182438.53,176500,5938.53,,,,,,,,
23001,1ª Região Fortaleza,,3205524239.41,2918970400,286553839.41,,,,,,,,
23002,2ª Região Caucaia,,2520408.16,2500000,20408.16,,,,,,,,
23011,11ª Região Sobral,,462000,460952.38,1047.62,,,,,,,,
24007,7ª Região de Saúde - Metropolitana,2018-2021,5818000,5730000,88000,1386227,584396,4.197003809621368,4.133522143198769,0.06348166642259889,9.95557806692722,9.804995242951698,0.15058282397552344
23020,20ª Região Crato,2014-2017,812358.4,789800,22558.4,345405,103546,2.3519011016053617,2.2865911031976953,0.06530999840766637,7.845386591466594,7.627527862013018,0.2178587294535762
24007,7ª Região de Saúde - Metropolitana,,174891017.69,165264251.35999998,9626766.33,,,,,,,,
25001,1ª Região Mata Atlântica,,215580244.95999998,207547244.95999998,8033000,,,,,,,,
25001,1ª Região Mata Atlântica,2014-2017,119180043.44,88350772.39,30829271.05,1316439,470050,90.532142727464,67.11345712942263,23.41868559804138,253.5475873630465,187.9603710030848,65.5872163599617
25003,3ª Região,,750000,731250,18750,,,,,,,,
26007,Ouricuri,2018-2021,390000,384000,6000,360110,106873,1.0830024159284664,1.0663408402987975,0.01666157562966871,3.649191095973726,3.593049694497207,0.05614140147651886
26001,Afogados da Ingazeira,2014-2017,383294.06,255740,127554.06,188965,60601,2.028386526605456,1.353372317624957,0.675014208980499,6.32488011748981,4.22006237520833,2.1048177422814804
26003,Caruaru,,825000,788400,36600,,,,,,,,
26009,Petrolina,,100000,100000,0,,,,,,,,
26010,Recife,,397045257.35,385904567.12,11140690.23,,,,,,,,
26010,Recife,2014-2017,496814248.42,379791513.28999996,117022735.13,4198599,1282602,118.32857779940404,90.45672456216941,27.87185323723461,387.34872424961134,296.110183275872,91.23854097373932
27001,1ª Região de Saúde,,244929054.84,220664885.34,24264169.5,,,,,,,,
27009,9ª Região de Saúde,,200500,196400,4100,,,,,,,,
27010,10ª Região de Saúde,,300000,292500,7500,,,,,,,,
28001,Aracaju,2014-2017,813895.1,789800,24095.1,852138,314250,0.9551212362316901,0.926845182353093,0.028276053878597128,2.589960540970565,2.513285600636436,0.07667494033412887
28002,Estância,2014-2017,656582.06,640050,16532.059999999998,246592,53276,2.662625145990138,2.595582987282637,0.06704215870750065,12.324162099256702,12.01385239132067,0.3103097079360312
28004,Lagarto,,1582624.05,1482100,100524.05,,,,,,,,
