"ano","nome_acao","cod_acao","unidade_orcamentaria","valor_pago"
"2000","Campanha Educativa para Prevenção de Acidentes de Trânsito ","1706","Fundo Nacional de Segurança e Educação do Trânsito ","3865140.45"
"2000","Certificação de Equipamentos para a Fiscalização de Trânsito ","2703","Fundo Nacional de Segurança e Educação do Trânsito ","0"
"2000","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino ","1769","Fundo Nacional de Segurança e Educação do Trânsito ","1317898"
"2000","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino ","1769","Ministério da Justiça ","0"
"2000","Estudos para a Segurança do Trânsito ","5576","Departamento Nacional de Estradas de Rodagem ","1187994.49"
"2000","Implantação da Municipalização do Trânsito ","3819","Ministério da Justiça ","4770"
"2000","Implantação do Sistema Nacional de Estatística de Trânsito - Sinet ","1802","Ministério da Justiça ","0"
"2000","Inspeção dos Órgãos de Trânsito ","2716","Ministério da Justiça ","956521.03"
"2000","Patrulhamento Ostensivo e Controle de Trânsito nas Rodovias e Estradas Federais ","2723","Departamento de Polícia Rodoviária Federal ","19081152.11"
"2000","Sistema Nacional de Estatística de Trânsito - Sinet ","2741","Fundo Nacional de Segurança e Educação do Trânsito ","1863113.40"
"2001","Apoio a Projetos Intersetoriais de Prevenção de Acidentes de Trânsito","1243","Ministério da Justiça ","17564198.88"
"2001","Campanha Educativa para Prevenção de Acidentes de Trânsito","1706","Fundo Nacional de Segurança e Educação do Trânsito ","8799304.86"
"2001","Certificação de Equipamentos para a Fiscalização de Trânsito","2703","Fundo Nacional de Segurança e Educação do Trânsito ","2558"
"2001","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino","1769","Fundo Nacional de Segurança e Educação do Trânsito ","4881955"
"2001","Estudos para Inserção Curricular de Educação para o Trânsito no Sistema de Ensino","1769","Ministério da Justiça ","856992.7"
"2001","Estudos para a Segurança do Trânsito","5576","Departamento Nacional de Estradas de Rodagem ","126784.03"
"2001","Implantação da Municipalização do Trânsito","3819","Ministério da Justiça ","0"
"2001","Implantação do Sistema Nacional de Estatística de Trânsito - SINET","1802","Ministério da Justiça ","40000"
"2001","Inspeção dos Órgãos de Trânsito","2716","Ministério da Justiça ","2053383.17"
"2001","Patrulhamento Ostensivo e Controle de Trânsito nas Rodovias e Estradas Federais","2723","Departamento de Polícia Rodoviária Federal ","32695707.24"
"2001","Sistema Nacional de Estatística de Trânsito - SINET","2741","Fundo Nacional de Segurança e Educação do Trânsito ","1873991.46"
"2001","Vigilância e Fiscalização do Trânsito Internacional de Animais e seus Produtos","2181","Ministério da Agricultura, Pecuária e  Abastecimento ","2970379.46"
"2001","Vigilância e Fiscalização do Trânsito Internacional de Vegetais e seus Produtos","2180","Ministério da Agricultura, Pecuária e  Abastecimento ","1498500.64"
"2002","Apoio a Projetos Intersetoriais de Prevenção de Acidentes de Trânsito ","1243","Ministério da Justiça ","7243209.57"
"2002","Campanha Educativa para Prevenção de Acidentes de Trânsito ","1706","Fundo Nacional de Segurança e Educação do Trânsito ","6748839.40"
"2002","Capacitação de Agentes para a Fiscalização de Trânsito e Habilitação de Condutores ","1711","Fundo Nacional de Segurança e Educação do Trânsito ","477525.41"
"2002","Certificação de Equipamentos para a Fiscalização de Trânsito ","2703","Fundo Nacional de Segurança e Educação do Trânsito ","2068.64"
