Município,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Porto Velho,27,315,783,1546,557,672,1041,653,506,908,1230,1201,779,1858,2364,1980,1262,
Rio Branco,28,438,518,706,738,761,621,582,649,721,1022,1086,792,928,849,987,822,107
Manaus,4,187,8,90,106,72,11,106,465,599,471,529,481,550,743,870,1004,
Boa Vista,9,385,595,855,762,641,619,923,1177,1352,305,734,453,487,315,474,752,
Belém,19,201,106,8,8,3,2,11,5,1,3,2,3,4,6,10,26,
Macapá,12,262,308,352,357,471,341,213,392,330,160,331,214,324,250,468,349,1
Palmas,,1,11,1,4,1,127,735,753,1126,889,973,1412,1667,1384,1407,745,
São Luís,,113,23,1,15,157,211,253,228,442,475,500,382,279,1,1,,
Teresina,428,1724,1226,2472,2324,1995,4344,4309,5480,6447,5400,5080,5376,5002,4788,4628,5143,280
Fortaleza,179,3901,3081,4732,5736,4641,5411,7597,7331,7043,5666,6175,5758,6015,6458,6322,6683,7
Natal,49,1019,1310,1874,1592,1888,1325,1609,1157,1769,2017,2421,2379,3019,3506,3565,3760,137
João Pessoa,77,1162,1729,2357,2170,2284,2224,2432,2504,1836,1831,2443,2369,2401,3055,2921,3039,33
Recife,15,2498,92,57,59,209,821,678,1204,680,519,457,510,332,326,469,545,24
Maceió,14,182,382,587,651,739,720,644,494,802,785,646,540,421,645,836,840,19
Aracaju,83,639,286,245,317,413,405,422,979,1122,1342,1021,1144,897,1249,1512,1391,
Salvador,143,1893,2379,2480,2383,2319,2119,2385,2170,2284,2818,3092,3549,4025,4183,3700,3710,68
Belo Horizonte,303,3125,3471,4197,5687,6256,6468,6519,7537,7074,6609,6448,6933,6868,7618,7457,6386,167
Vitória,144,785,721,363,753,723,934,1004,1354,1344,1150,937,917,1223,1445,804,469,32
Rio de Janeiro,174,2364,1908,2136,2374,2692,2725,2951,2744,2177,2031,2095,1873,1831,1820,2302,2126,73
São Paulo,694,9330,9875,10321,10534,10058,9928,9316,7950,7710,8306,8650,9105,9282,9412,9181,9582,425
Curitiba,145,1936,715,567,648,671,804,939,833,572,1020,945,1067,1340,944,781,625,36
Florianópolis,52,703,248,137,82,103,71,74,102,93,58,89,221,6,,4,2,
Porto Alegre,336,1902,2541,2750,2535,1938,1574,1518,1564,1495,1657,1352,1572,1424,1445,1557,1836,55
Campo Grande,3,28,24,26,189,179,107,95,63,35,52,1852,2735,3222,3174,2940,2743,20
Cuiabá,35,450,485,672,902,1018,1377,1839,1870,2958,2903,2760,2166,423,196,177,70,
Goiânia,324,1633,2282,3074,3587,4006,3921,4794,5007,4873,4678,4427,5627,4333,4058,5952,4244,215
Brasília,252,1836,2319,2628,2837,1901,1600,1952,2849,2573,2131,2288,2370,2831,2975,3289,3565,124
